CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
F8203B,F8203B005,36,23,0.64,28.22
H4101D,H4101D033,185,119,0.64,28.42
F0101R,F0101R006,47,30,0.64,28.97
G8501R,G8501R006,426,277,0.65,23.09
E4101B,E4101B025,60,39,0.65,24.28
E1901R,E1901R019,215,139,0.65,24.5
F7401Q,F7401Q001,43,28,0.65,24.5
E3301M,E3301M138,80,52,0.65,24.75
F8203B,F8203B003,43,28,0.65,24.82
E1601N,E1601N006,362,234,0.65,24.92
E2401P,E2401P012,508,329,0.65,25.19
E3301M,E3301M181,77,50,0.65,25.26
I0102D,I0102D007,46,30,0.65,25.27
E4102B,E4102B054,95,62,0.65,25.37
E1803M,E1803M038,350,229,0.65,25.77
E3002Q,E3002Q027,34,22,0.65,25.86
581,A5810136,77,50,0.65,26.54
E4001N,E4001N068,173,112,0.65,26.69
E3001Q,E3001Q012,247,161,0.65,27.09
I0102D,I0102D902,49,32,0.65,27.13
F5602M,F5602M001,31,20,0.65,27.15
581,A5810039,163,106,0.65,27.66
F7701M,F7701M027,65,42,0.65,28.45
G8501R,G8501R026,659,436,0.66,
I0301D,I0301D007,35,23,0.66,23.74
E1801M,E2004P038,38,25,0.66,23.88
E1401A,E1401A076,243,161,0.66,24.91
E1401A,E1401A014,123,81,0.66,25.16
E2701Q,E2701Q012,61,40,0.66,25.58
G8501R,G8501R017,374,247,0.66,25.6
E1501N,E1501N051,263,174,0.66,25.8
E3301M,E3301M195,284,188,0.66,26.01
E3101Q,E3101Q127,269,178,0.66,26.11
F5102P,F5102P006,134,88,0.66,26.27
F6302N,F6302N001,121,80,0.66,26.38
E2401P,E2401P035,101,67,0.66,26.45
E2401P,E2401P008,440,292,0.66,26.6
F8501R,F8501R056,208,138,0.66,26.75
I0302D,I0302D015,35,23,0.66,26.96
H4101D,H4101D022,179,119,0.66,27.15
F0802Q,F0802Q041,82,54,0.66,27.17
H4101D,H4101D038,202,133,0.66,27.28
F7701M,F7701M077,139,92,0.66,27.65
581,A5810132,205,135,0.66,28.29
H4101D,H4101D014,176,117,0.66,28.49
F9201P,F9201P011,64,43,0.67,
E3401Q,E3401Q042,52,35,0.67,23.31
E1501N,E1501N014,147,98,0.67,23.76
E1801M,E1801M050,107,72,0.67,24.44
E1501N,E1501N080,48,32,0.67,24.47
E4101B,E4101B017,179,120,0.67,24.49
E3101Q,E3101Q118,42,28,0.67,25.39
581,A5810126,43,29,0.67,26
H4101D,H4101D252,192,129,0.67,26.21
E3301M,E3301M193,211,142,0.67,26.24
E2004P,E2004P039,66,44,0.67,26.27
E1901R,E1901R005,680,458,0.67,26.35
E2702Q,E2702Q004,76,51,0.67,26.37
E0201Q,E0201Q065,126,84,0.67,27.1
E2702Q,E2702Q101,73,49,0.67,27.57
F5104P,F5104P001,249,168,0.67,27.74
F1801Q,F1801Q123,58,39,0.67,28
F5103P,F5103P005,102,68,0.67,28.28
F5102P,F5102P012,98,66,0.67,28.74
