ad,media
[E2701Q036] FISICA I CON LABORATORIO,14.6
[E2004P038] WEB MARKETING,14.6
[E1901R009] PEDAGOGIA DELL'INFANZIA,14.6
[F7701M082] ELEMENTI DI PROGRAMMAZIONE,14.571428571428571
[E3002Q032] ANATOMIA E ISTOLOGIA UMANA E OCULARE,14.571428571428571
[E1301Q007] FISICA,14.571428571428571
[H4101D006] CHIMICA BIOLOGICA E BIOLOGIA MOLECOLARE,14.5
[E3401Q002] FISICA,14.5
[E3301M097] ECONOMIA AZIENDALE,14.5
[E2004P010] STORIA DELLA SCIENZA,14.5
[E1802M005] ISTITUZIONI DI DIRITTO PUBBLICO,14.5
[F5103P072] TECNICHE STATISTICHE PER L'ANALISI DEL CAMBIAMENTO,14.4
[F8501R001] FONDAMENTI DELLA CONSULENZA PEDAGOGICA,14.375
[G8501R021] EDUCAZIONE ALL'IMMAGINE CON LABORATORIO,14.333333333333334
[F7702M002] ABILITÀ INFORMATICHE MAGISTRALE,14.333333333333334
[E1801M018] ABILITÀ INFORMATICHE PREPARAZIONE TESI,14.333333333333334
[G8501R024] PEDAGOGIA INTERCULTURALE,14.2
[E3002Q006] FISICA I,14.2
[E2004P013] PSICOLOGIA DELL'ARTE,14.166666666666666
[G8501R001] PEDAGOGIA GENERALE CON LABORATORIO,14.142857142857142
[E3001Q042] FISICA II,14.142857142857142
[F5101P139] PSICOLOGIA DELLA SALUTE E INTERVENTI CLINICI IN AMBITO SANITARIO,14
[E3101Q118] ELABORAZIONE DELLE IMMAGINI,14
[E2001R009] PSICOLOGIA DELLA COMUNICAZIONE,14
[E2001R008] PEDAGOGIA INTERCULTURALE,14
[E1803M037] INFORMATICA GENERALE,14
[E2702Q089] CHIMICA FISICA II E LABORATORIO,13.833333333333334
[E3401Q038] INFORMATICA PER LE SCIENZE DELLA TERRA,13.8
[E3401Q036] RILEVAMENTO GEOLOGICO,13.8
"[E2004P008] APPRENDIMENTO, PENSIERO E DECISIONE",13.5
[E1803M100] MICROECONOMIA E STORIA ECONOMICA,13.5
[A5810229] ISTITUZIONI DI DIRITTO ROMANO,13.5
[I0302D003] ORGANI E FUNZIONI,13.4
[G8501R008] LABORATORIO DI LINGUA INGLESE I,13.333333333333334
[E4102B001] ANALISI MATEMATICA I,13.333333333333334
[E2001R059] LINGUA GIAPPONESE II,13.333333333333334
[E1803M101] MACROECONOMIA,13.3
[E1801M030] DIRITTO COMMERCIALE,13.25
[H4101D033] CLINICA CHIRURGICA,13.2
[E1802M115] METODI QUANTITATIVI PER L'AMMINISTRAZIONE DELLE IMPRESE,13.2
[G8501R039] MEDIAZIONE DIDATTICA E STRATEGIE DI GRUPPO CON LABORATORIO E LEGISLAZIONE SCOLASTICA,13.142857142857142
