CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
I0302D,I0302D011,[L2] Corso di Laurea - L2,47,25,0.53,24.2
581,A5810228,[LM5] Laurea Magistrale Ciclo Unico 5 anni,431,231,0.54,26.48
E1803M,E1803M101,[L2] Corso di Laurea - L2,288,155,0.54,25.79
E3501Q,E3501Q062,[L2] Corso di Laurea - L2,41,22,0.54,25.32
E4001N,E4001N059,[L2] Corso di Laurea - L2,46,25,0.54,24.8
E4101B,E4101B008,[L2] Corso di Laurea - L2,165,89,0.54,23.82
G8501R,G8501R004,[LM5] Laurea Magistrale Ciclo Unico 5 anni,347,186,0.54,23.93
G8501R,G8501R037,[LM5] Laurea Magistrale Ciclo Unico 5 anni,459,248,0.54,27.08
I0101D,I0101D012,[L2] Corso di Laurea - L2,304,163,0.54,25.45
K0101D,K0101D014,[LM] Corso di Laurea Magistrale,39,21,0.54,
581,A5810006,[LM5] Laurea Magistrale Ciclo Unico 5 anni,304,168,0.55,26.68
581,A5810014,[LM5] Laurea Magistrale Ciclo Unico 5 anni,332,183,0.55,25.71
E1601N,E1601N003,[L2] Corso di Laurea - L2,256,142,0.55,24.09
E1802M,E1802M126,[L2] Corso di Laurea - L2,31,17,0.55,27.18
E2701Q,E2701Q035,[L2] Corso di Laurea - L2,74,41,0.55,23.61
E2702Q,E2702Q045,[L2] Corso di Laurea - L2,73,40,0.55,28.33
E3002Q,E3002Q008,[L2] Corso di Laurea - L2,56,31,0.55,25.35
E3401Q,E3401Q017,[L2] Corso di Laurea - L2,55,30,0.55,27.27
E3501Q,E3501Q065,[L2] Corso di Laurea - L2,78,43,0.55,26.12
E4101B,E4101B013,[L2] Corso di Laurea - L2,91,50,0.55,26.6
E4101B,E4101B038,[L2] Corso di Laurea - L2,77,42,0.55,25.33
G8501R,G8501R005,[LM5] Laurea Magistrale Ciclo Unico 5 anni,359,196,0.55,27.83
581,A5810015,[LM5] Laurea Magistrale Ciclo Unico 5 anni,374,208,0.56,26.26
581,A5810227,[LM5] Laurea Magistrale Ciclo Unico 5 anni,520,291,0.56,25.3
E1301Q,E1301Q009,[L2] Corso di Laurea - L2,325,183,0.56,26.42
E1301Q,E1301Q059,[L2] Corso di Laurea - L2,52,29,0.56,26.66
E1501N,E1501N001,[L2] Corso di Laurea - L2,203,113,0.56,24.4
E1801M,E1801M048,[L2] Corso di Laurea - L2,266,148,0.56,23.8
