ad,media
[E3301M159] STATISTICA PER L'AZIENDA,1.6285714285714286
[E1301Q010] CHIMICA ORGANICA,1.6274509803921569
[F5401Q019] CHIMICA ORGANICA SUPERIORE,1.625
[E3201Q079] GEOPEDOLOGIA,1.625
[I0101D011] ASSISTENZA INFERMIERISTICA IN MEDICINA SPECIALISTICA,1.6231884057971016
[E1803M101] MACROECONOMIA,1.6219512195121952
[E1803M004] ISTITUZIONI DI DIRITTO PUBBLICO,1.6216216216216217
[E3101Q112] SISTEMI DISTRIBUITI,1.6206896551724137
[F8501R001] FONDAMENTI DELLA CONSULENZA PEDAGOGICA,1.619718309859155
[E2401P101] PSICOMETRIA CON LABORATORIO DI SPSS 2,1.619047619047619
[A5810012] DIRITTO TRIBUTARIO,1.6164383561643836
[E4101B025] ORGANIZZAZIONE DEI SISTEMI INFORMATIVI,1.6153846153846154
[E4101B017] ECONOMETRIA,1.6153846153846154
[A5810093] ORDINAMENTO GIUDIZIARIO,1.6153846153846154
[E2004P026] PSICOLOGIA SOCIALE DELLA COMUNICAZIONE,1.6129032258064515
[G8501R036] CHIMICA E DIDATTICA DELLA BIOLOGIA,1.6111111111111112
[E2702Q092] CHIMICA INORGANICA I E LABORATORIO,1.6071428571428572
[E1401A008] DIRITTO PENALE,1.6071428571428572
[E1803M049] CONTABILITA' E BILANCIO,1.6067415730337078
[E1803M017] ABILITÀ INFORMATICHE PREPARAZIONE TESI,1.606060606060606
[E1401A015] ECONOMIA AZIENDALE,1.6046511627906976
"[K0101D015] INFORMATICA, LIVELLO AVANZATO",1.6
[K0101D010] STRUTTURE ORGANIZZATIVE E FLUSSI GESTIONALI DELLE AZIENDE SANITARIE,1.6
[F8203B011] MODELLI STATISTICI E INFERENZA BAYESIANA,1.6
[F7501Q077] FISICA DELL'ATMOSFERA,1.6
[F0901D044] FISIOLOGIA INTEGRATA:DALLE CELLULE AI SISTEMI,1.6
[F0101R008] ANTROPOLOGIA DEI PROCESSI MIGRATORI,1.6
[E3401Q047] LABORATORIO DI GEOTECNICA,1.6
[E2702Q101] CHIMICA ORGANICA III E LABORATORIO,1.6
[E2001R056] LINGUA CINESE II,1.6
[E1802M126] DIRITTO DEL LAVORO,1.6
[E2401P001] PSICOLOGIA GENERALE 1,1.5964912280701755
[E4101B006] CALCOLO DELLE PROBABILITÀ,1.5925925925925926
[E3001Q046] MECCANICA QUANTISTICA,1.5909090909090908
[A5810132] DIRITTO PRIVATO COMPARATO,1.5909090909090908
[E3301M195] FONDAMENTI DI RAGIONERIA GENERALE E APPLICATA,1.5901639344262295
[F7501Q004] VALUTAZIONE IMPATTO AMBIENTALE,1.5897435897435896
[I0101D009] METODOLOGIA CLINICA INFERMIERISTICA 1,1.5877862595419847
[E1803M050] GESTIONE BANCARIA,1.5844155844155845
[E2401P004] STORIA DELLA PSICOLOGIA,1.5833333333333333
[E1802M129] LINGUA INGLESE,1.5833333333333333
[A5810106] BIOETICA,1.5833333333333333
"[H4101D021] SANITA' PUBBLICA, IGIENE E MEDICINA DEL LAVORO",1.5810810810810811
[E1601N006] INGLESE,1.5802469135802468
[E1301Q057] CHIMICA BIOLOGICA,1.5789473684210527
[E1301Q063] BOTANICA,1.5769230769230769
[F7701M097] GLOBAL MANAGEMENT,1.5714285714285714
[F5401Q017] CHIMICA DI COORDINAZIONE E METALLORGANICA,1.5714285714285714
[E4102B066] DEMOGRAFIA,1.5714285714285714
[E4101B040] BASI DI DATI,1.5714285714285714
[E4101B008] STATISTICA ECONOMICA I,1.5714285714285714
[E2702Q045] ELEMENTI DI BIOCHIMICA,1.5714285714285714
[E2401P002] FONDAMENTI ANATOMO-FISIOLOGICI DELL'ATTIVITÀ PSICHICA,1.5714285714285714
[E1803M059] LINGUA- TEDESCO,1.5714285714285714
[E1301Q055] FISIOLOGIA VEGETALE,1.5675675675675675
[I0101D012] ASSISTENZA INFERMIERISTICA IN CHIRURGIA SPECIALISTICA,1.5666666666666667
[F1601M056] INFORMATICA PER LA FINANZA,1.564102564102564
[F7702M002] ABILITÀ INFORMATICHE MAGISTRALE,1.5636363636363637
[F9201P100] COGNIZIONE E LINGUAGGIO,1.5625
[F1601M042] ULTERIORI CONOSCENZE LINGUISTICHE PER LA FINANZA - INGLESE,1.5625
[E3001Q057] STRUTTURA DELLA MATERIA,1.5625
[A5810011] GIUSTIZIA AMMINISTRATIVA,1.5625
[E1501N005] SOCIOLOGIA GENERALE,1.5609756097560976
[E3401Q004] CHIMICA GENERALE E INORGANICA,1.5569620253164558
"[H4601D002] ANATOMIA, ISTOLOGIA ED EMBRIOLOGIA GENERALI E DELL'APPARATO STOMATOGNATICO",1.5555555555555556
[F7601M054] MATEMATICA PER L'ECONOMIA DEI FENOMENI TURISTICI,1.5555555555555556
